player_id,role,fname,lname,name,mapped_role,position,f_pos
55ef8b7a,Unknown,Ewan,Chalmers,Ewan Fraser Chalmers,,,
24e3c15b,Unknown,Tawfique,Khan,Tawfique Khan Tushar,,Bowler,Bowler
5c4e8572,Unknown,Kerrod,Loughman,Kerrod Kamoi Loughman,,,
8e514b4c,Batter,Abdul,Samad,Abdul Samad Farooq,Batter,,Batter
7d4f6e1f,Unknown,Boiko,Ivanov,Boiko Ivanov,,,Allrounder
b0a48a21,Unknown,Manik,Gupta,Manik Gupta,,,Allrounder
4b490566,Unknown,Estefanny,Barboza,Estefanny Fabiana Barboza Estrada,,,Allrounder
6cf75582,Unknown,Ko,Thu,Ko Ko Lin Thu,,,Allrounder
c15f0546,Unknown,Puja,Chugani,Puja Chugani,,,
d144ddb6,Bowler,Maninder,Singh,Maninder Singh,Bowler,,Bowler
1bce9ebd,Unknown,Bill,Howell,William Peter Howell,,,
7b51bfa4,Bowler,Fariha,Trisna,Fariha Islam Trisna,Bowler,,Bowler
5ec68f1b,Unknown,Jason,Leahy,Jason Leahy,,,
9e52a414,Top-order batter,Towhid,Hridoy,Md Towhid Hridoy,Batter,,Batter
2a3a3786,Bowler,Aftab,Alam,Aftab Alam,Bowler,,Bowler
49f84b87,Unknown,Hamilton,Gilliard,Hamilton Gilliard,,,Allrounder
df36df18,Unknown,Katana,Mentore,Katana Kisoni Mentore,,,Allrounder
bada879d,Unknown,Farooq,Khan,Farooq Ali Khan,,Batsman,Batter
ac74a1ac,Wicketkeeper batter,Manish,Dogra,Manish Kumar Dogra,Wicketkeeper,,Wicketkeeper
64f377be,Unknown,Theo,Wylie,Theo Owen Wylie,,,Allrounder
4a6a1da8,Unknown,Radjeev,Jagroep,Radjeev Kishen Jagroep,,,
129cde2e,Unknown,Farima,Safi,Farima Safi,,,
30baaf1f,Bowler,Timroy,Allen,Timroy Patrick Allen,Bowler,,Bowler
327c7253,Unknown,Manish,Golamaru,Manish Golamaru,,Allrounder,Allrounder
21dbacff,Unknown,Abdul,Samad,Abdul Samad,,Allrounder,Allrounder
944533a5,Top-order batter,Karun,Nair,Karun Nair,Batter,,Batter
6c75310b,Bowler,Jon,Lewis,Jonathan Lewis,Bowler,,Bowler
b4ff4409,Unknown,Manish,Sharma,Manish Sharma,,,Allrounder
ddac8821,Unknown,Esther,Franco,Esther Franco,,,
16c619e6,Unknown,Farooq,Hamid,Farooq Hamid,,,
ede05b97,Wicketkeeper batter,Heino,Kuhn,Heino Gunther Kuhn,Wicketkeeper,,Wicketkeeper
